ПІБ лікаря,person_gender,person_age,n_visits
Болдирєва Елла Віталіївна,жіноча,y6-17,16
Болдирєва Елла Віталіївна,жіноча,y18-39,230
Болдирєва Елла Віталіївна,жіноча,y40-64,474
Болдирєва Елла Віталіївна,жіноча,y65+,451
Болдирєва Елла Віталіївна,чоловіча,y18-39,222
Болдирєва Елла Віталіївна,чоловіча,y40-64,253
Болдирєва Елла Віталіївна,чоловіча,y65+,131
Бондаренко Ірина Олександрівна,жіноча,y6-17,1
Бондаренко Ірина Олександрівна,жіноча,y18-39,206
Бондаренко Ірина Олександрівна,жіноча,y40-64,574
Бондаренко Ірина Олександрівна,жіноча,y65+,774
Бондаренко Ірина Олександрівна,чоловіча,y18-39,193
Бондаренко Ірина Олександрівна,чоловіча,y40-64,378
Бондаренко Ірина Олександрівна,чоловіча,y65+,312
Бондаренко Зінаіда Антонівна,жіноча,y0-5,1
Бондаренко Зінаіда Антонівна,жіноча,y18-39,320
Бондаренко Зінаіда Антонівна,жіноча,y40-64,960
Бондаренко Зінаіда Антонівна,жіноча,y65+,1096
Бондаренко Зінаіда Антонівна,чоловіча,y6-17,1
Бондаренко Зінаіда Антонівна,чоловіча,y18-39,523
Бондаренко Зінаіда Антонівна,чоловіча,y40-64,669
Бондаренко Зінаіда Антонівна,чоловіча,y65+,360
Бондарук Лідія Андріївна,жіноча,y6-17,3
Бондарук Лідія Андріївна,жіноча,y18-39,529
Бондарук Лідія Андріївна,жіноча,y40-64,1133
Бондарук Лідія Андріївна,жіноча,y65+,579
Бондарук Лідія Андріївна,чоловіча,y18-39,542
Бондарук Лідія Андріївна,чоловіча,y40-64,670
Бондарук Лідія Андріївна,чоловіча,y65+,253
Бордунова Н.В.,жіноча,y18-39,428
Бордунова Н.В.,жіноча,y40-64,762
Бордунова Н.В.,жіноча,y65+,787
Бордунова Н.В.,чоловіча,y6-17,5
Бордунова Н.В.,чоловіча,y18-39,397
Бордунова Н.В.,чоловіча,y40-64,525
